yaw,r,theta,Fn_BEM,Ft_BEM,Fn_SVEN,Ft_SVEN,V_eff_BEM,alpha_BEM,V_eff_SVEN,alpha_SVEN
-15.0,0.28853979201,0.0,6.865750967198595,5.865714705702074,8.708524279100942,6.486236920465943,17.265543508247603,37.62235594244854,20.970066876627524,41.64663477922837
-15.0,0.28853979201,10.0,6.843886727546913,5.834624015141563,8.607180138756519,6.364954400561117,17.259338539582263,37.68352309376552,20.80888939652904,41.85788738974142
-15.0,0.28853979201,20.0,6.794384011026435,5.746079113763438,8.4918088770391,6.194987203933927,17.255257660681657,37.91455706415527,20.5970264397124,42.25960019188082
-15.0,0.28853979201,30.0,6.718915791569088,5.604140683652466,8.366667674225667,5.984690618195458,17.25347915620278,38.314353279473615,20.34338778194964,42.8480868360623
-15.0,0.28853979201,40.0,6.62038417228592,5.414957745561173,8.232191626372229,5.74251750609703,17.254072468849525,38.87987822722397,20.054954448027228,43.6042192898712
-15.0,0.28853979201,50.0,6.501729824036994,5.187105523103435,8.091922198891897,5.477007214954027,17.25705113058504,39.60605542141357,19.74108163322424,44.50907182269944
-15.0,0.28853979201,60.0,6.366009076175147,4.931013009214015,7.958613178156823,5.199940596614858,17.262309967001993,40.48441246942111,19.4202944990568,45.57079245294866
-15.0,0.28853979201,70.0,6.219654833193991,4.655369761153753,7.829292775043991,4.918789468186758,17.269597318496945,41.50123878257872,19.09768764698245,46.748738781523976
-15.0,0.28853979201,80.0,6.067497960832768,4.370518340447076,7.699326976204012,4.641283851684887,17.278643091627682,42.638177158008894,18.776765210751147,47.9833469057281
-15.0,0.28853979201,90.0,5.91282212494113,4.088150413430987,7.590670174052108,4.378648464672822,17.289100429344956,43.87069327567645,18.48350351600952,49.29135396278838
-15.0,0.28853979201,100.0,5.762064130936541,3.8158542534624216,7.477616530052199,4.131696108990432,17.30055604785266,45.16612899280418,18.199961302614085,50.55716742847381
-15.0,0.28853979201,110.0,5.619545767089559,3.561634505589374,7.374505775811563,3.908734952192342,17.31259007921986,46.48509549999073,17.94354961000145,51.76733287416094
-15.0,0.28853979201,120.0,5.48961126381549,3.3317591701305926,7.282793824089228,3.714577752856127,17.32477774747213,47.78157813767023,17.71920692795128,52.87075507071403
-15.0,0.28853979201,130.0,5.375755274214616,3.1310787695388096,7.209755494450374,3.553972231202388,17.336744571402605,49.005013371704784,17.536502816491183,53.83791802024295
-15.0,0.28853979201,140.0,5.280578202423604,2.9633356483971505,7.162636651105104,3.4302264609101667,17.34814646304944,50.10290690424794,17.404089365935807,54.646050570192486
-15.0,0.28853979201,150.0,5.206215763975955,2.8309924628909684,7.138953519882544,3.3449639186695177,17.35868851432891,51.02446673285917,17.320935456889657,55.25142440371718
-15.0,0.28853979201,160.0,5.153904733700861,2.7357867170280032,7.139002449038958,3.3001586917868124,17.368128433687215,51.72463489414236,17.288411587090973,55.62197472429649
-15.0,0.28853979201,170.0,5.124520818503432,2.6786886353016177,7.163474396096455,3.296719104161164,17.376263755778087,52.16785946942046,17.30738822210513,55.74413561326088
-15.0,0.28853979201,180.0,5.118382183351535,2.66029741625589,7.212445470046018,3.3349054446141864,17.382927148972794,52.331350445091374,17.37768442077464,55.61543320856373
-15.0,0.28853979201,190.0,5.135532950054051,2.6807870693804774,7.285460248403538,3.414501062672226,17.387980677087068,52.20708511071447,17.49840884116722,55.24423274742568
-15.0,0.28853979201,200.0,5.175734710231955,2.7399787999722567,7.381463544677882,3.534617318449134,17.39131215761482,51.8025047171969,17.66765150489125,54.6492577304373
-15.0,0.28853979201,210.0,5.238433034311843,2.837282016562731,7.498662959949136,3.693639310448212,17.392836340229238,51.13971764181959,17.8823886253334,53.85882133000647
-15.0,0.28853979201,220.0,5.322611552741666,2.971652241675619,7.638873106690428,3.8895276450647978,17.39249750338664,50.2534225336556,18.142240979332644,52.91955410252195
-15.0,0.28853979201,230.0,5.426725474053656,3.141377751118647,7.796201459472975,4.1180772755112445,17.39027411986371,49.1876434297848,18.43875750995128,51.86646477677375
-15.0,0.28853979201,240.0,5.548584679560201,3.3438040089326284,7.966597347168669,4.374667678191771,17.38619108774215,47.99199917360831,18.764826886649445,50.7387305371107
-15.0,0.28853979201,250.0,5.684999294769275,3.575322116685739,8.135994322250212,4.65153844733641,17.380322188808204,46.71777218471537,19.10364882681708,49.55476786814472
