yaw,r,theta,Fn_BEM,Ft_BEM,Fn_SVEN,Ft_SVEN
-15.0,0.326110072682,280.0,14.109622696575594,5.822437903959858,19.11028285105576,7.103773951732189
-15.0,0.326110072682,290.0,14.393422318415151,6.167909071574693,19.24537992878256,7.418123403056211
-15.0,0.326110072682,300.0,14.646822126954492,6.500413818043247,19.323736390212986,7.70145436958876
-15.0,0.326110072682,310.0,14.86113943573976,6.808535128416491,19.368070654412826,7.940846895014012
-15.0,0.326110072682,320.0,15.03181380020932,7.0795146245084855,19.34723907714301,8.126631665244432
-15.0,0.326110072682,330.0,15.156335844891611,7.302473590983962,19.26151772840198,8.249402165671498
-15.0,0.326110072682,340.0,15.233638898987508,7.468097511889719,19.13542868672462,8.30545011437438
-15.0,0.326110072682,350.0,15.264730995622363,7.568972189613113,18.972727630629453,8.292565597894528
-15.0,0.370559501483,0.0,33.04651010989709,1.405359963411571,32.29465867562475,9.420666709347714
-15.0,0.370559501483,10.0,32.876031312204056,1.4006570598077288,32.007240159924486,9.270897781620649
-15.0,0.370559501483,20.0,32.576880685103525,1.3440433631805149,31.769266224853784,9.06767083304275
-15.0,0.370559501483,30.0,32.15090373909104,1.2420936909049676,31.613489438192,8.841527730783376
-15.0,0.370559501483,40.0,31.58641886469341,1.1105784862899812,31.43940045732891,8.581285435152216
-15.0,0.370559501483,50.0,30.86462114367808,0.9724428768702764,31.203365834238912,8.265910805928023
-15.0,0.370559501483,60.0,29.92566235912001,0.885332651188492,31.130318688289545,7.915360110557529
-15.0,0.370559501483,70.0,24.55822291387247,6.738459457817356,31.089546841720548,7.559749351680313
-15.0,0.370559501483,80.0,23.30809808341301,6.909014250022424,30.889673235749328,7.203234868495394
-15.0,0.370559501483,90.0,23.09676350745622,6.515125526098583,30.72334077822721,6.860955166585626
-15.0,0.370559501483,100.0,23.17961035777017,6.222249187351592,30.498714551872396,6.53821874931113
-15.0,0.370559501483,110.0,23.024632141362773,5.883314731378544,30.222272589089066,6.243201305314366
-15.0,0.370559501483,120.0,22.85156016471556,5.573094575576198,29.86232439621956,5.9837877767325685
-15.0,0.370559501483,130.0,22.674691664851103,5.299939819315718,29.56180843846103,5.766956004602228
-15.0,0.370559501483,140.0,22.51405813879928,5.069017023410243,29.45476703941756,5.603434662423145
-15.0,0.370559501483,150.0,22.38263458293523,4.8868794593279326,29.43865382530574,5.4930028173146965
-15.0,0.370559501483,160.0,22.298633405524708,4.754816386397139,29.49722134556411,5.435717096971391
-15.0,0.370559501483,170.0,22.270806762588823,4.676360202265485,29.634762408721357,5.433437539073135
-15.0,0.370559501483,180.0,22.30759316675797,4.651975608636813,29.849476413453544,5.486706976963532
-15.0,0.370559501483,190.0,22.40903470901317,4.683076981186062,30.138345953094404,5.594943657937349
-15.0,0.370559501483,200.0,22.573214300850083,4.768782386255162,30.49281590884802,5.7558867992458005
-15.0,0.370559501483,210.0,22.79278794499898,4.907842628439183,30.901836183261683,5.968169850649581
-15.0,0.370559501483,220.0,23.057002565629983,5.097039149182581,31.459484559334385,6.233254069161692
-15.0,0.370559501483,230.0,23.34692490406438,5.334025429277041,32.0881189999129,6.54009705914349
-15.0,0.370559501483,240.0,23.643361293126397,5.614164651712736,32.76438208136832,6.884297222821973
-15.0,0.370559501483,250.0,23.925779061949672,5.929869912779969,33.2832047789779,7.250706565447206
-15.0,0.370559501483,260.0,24.169560690656667,6.275196873842619,33.70752575538546,7.628219958019904
-15.0,0.370559501483,270.0,24.33134706528944,6.624960673227422,34.064522111064974,8.011122820005516
-15.0,0.370559501483,280.0,24.253586707992294,6.927456614330085,34.27670069675131,8.379024755277051
