yaw,r,theta,V_eff_BEM,alpha_BEM,V_eff_SVEN,alpha_SVEN
-15.0,0.219688749936,270.0,13.64418964402909,53.94153492297772,16.792371620143538,53.341065072833885
-15.0,0.219688749936,280.0,13.61821786887422,52.36812691582711,17.096467404075952,51.990172207813416
-15.0,0.219688749936,290.0,13.58688424879388,50.889098337140375,17.376836131811903,50.75496870052435
-15.0,0.219688749936,300.0,13.55108842947709,49.53746344334502,17.624508612539717,49.6649344730828
-15.0,0.219688749936,310.0,13.51190918730693,48.33882864943351,17.830356820049598,48.74823363815266
-15.0,0.219688749936,320.0,13.470576316052776,47.31253876775409,17.984318954199896,48.01594798248831
-15.0,0.219688749936,330.0,13.42843507483708,46.4729927761944,18.07986235089737,47.473194152510295
-15.0,0.219688749936,340.0,13.386902298646662,45.83090599039158,18.11381499595974,47.13117590067948
-15.0,0.219688749936,350.0,13.347414271835744,45.39436975408578,18.084430342120715,46.99775684505237
-15.0,0.235125874557,0.0,14.97047316144446,43.7126695261261,18.62093406154361,45.916397166295866
-15.0,0.235125874557,10.0,14.956162415823696,43.76432083525727,18.4679328126118,46.19083097748471
-15.0,0.235125874557,20.0,14.945193967861677,44.02184038990335,18.262681048927963,46.674480789026696
-15.0,0.235125874557,30.0,14.9379663841701,44.48478640646234,18.013779881440893,47.36284229361963
-15.0,0.235125874557,40.0,14.934728286900796,45.15061281545901,17.73015210976646,48.24304435623532
-15.0,0.235125874557,50.0,14.93556332569415,46.01377238856496,17.42247599136692,49.29832114813014
-15.0,0.235125874557,60.0,14.940385154755914,47.06452293128147,17.104969200319676,50.51926273282247
-15.0,0.235125874557,70.0,14.94894381957569,48.28751968864992,16.78663819874221,51.87621323441259
-15.0,0.235125874557,80.0,14.96084394627052,49.66034765531119,16.475188724613805,53.31884020249949
-15.0,0.235125874557,90.0,14.975573759611642,51.15223414799131,16.1944954535016,54.8478186869534
-15.0,0.235125874557,100.0,14.992542308660656,52.72326217667059,15.926059941643658,56.3369493011147
-15.0,0.235125874557,110.0,15.011120598514372,54.32444074600456,15.688552908685992,57.77075673635077
-15.0,0.235125874557,120.0,15.03068107133559,55.898936083855,15.486206319447732,59.0888311591122
-15.0,0.235125874557,130.0,15.050629634086755,57.38460303226877,15.324499238020946,60.241790670815405
-15.0,0.235125874557,140.0,15.070425652289371,58.71769844304022,15.207648620921232,61.18945823798742
-15.0,0.235125874557,150.0,15.089588014741135,59.837381870641686,15.135277433521573,61.8887967251147
-15.0,0.235125874557,160.0,15.107688865712626,60.69041282605173,15.107688575779695,62.30339599483261
-15.0,0.235125874557,170.0,15.12433975613043,61.23540970966094,15.125125474929863,62.41593594292751
-15.0,0.235125874557,180.0,15.139176665557857,61.44614286014312,15.187409347076905,62.22407684002172
-15.0,0.235125874557,190.0,15.151850039818385,61.313525224526494,15.294036631381436,61.739570612343805
-15.0,0.235125874557,200.0,15.162023908952635,60.846154595261815,15.44400164217612,60.987084191565096
-15.0,0.235125874557,210.0,15.169385125727487,60.06940571334607,15.63558357462852,60.00316364024915
-15.0,0.235125874557,220.0,15.17366081401512,59.02318010998054,15.86768373964056,58.8374723475144
-15.0,0.235125874557,230.0,15.174640083751846,57.75853565015609,16.134940249358873,57.539659864621086
-15.0,0.235125874557,240.0,15.172195413702468,56.33355539581584,16.43148162907501,56.15888075537772
-15.0,0.235125874557,250.0,15.166299814657108,54.80894706343615,16.74652674039257,54.73644831180142
-15.0,0.235125874557,260.0,15.157037513654092,53.243926260926976,17.072159357799638,53.31875471425375
-15.0,0.235125874557,270.0,15.144607727588475,51.69287744695606,17.397832625870056,51.95180607158575
-15.0,0.235125874557,280.0,15.12932243936023,50.2031085006584,17.710858725082005,50.66787075467947
-15.0,0.235125874557,290.0,15.111599592106344,48.81377711534399,17.998049340477014,49.48869357712684
-15.0,0.235125874557,300.0,15.091952847624253,47.55585067029645,18.25087298200036,48.444524391103975
-15.0,0.235125874557,310.0,15.070978388522343,46.45282449073986,18.46050070888595,47.56425324362109
-15.0,0.235125874557,320.0,15.049338614262242,45.52188162379208,18.61661447251064,46.857386191754905
-15.0,0.235125874557,330.0,15.02774228419564,44.77520914881731,18.7128005846906,46.32866868583257
-15.0,0.235125874557,340.0,15.006920783319847,44.22125543819573,18.746163041278688,45.99048095431023
-15.0,0.235125874557,350.0,14.987600650965774,43.86578762394565,18.71503879683701,45.85099255846797
-15.0,0.258134591992,0.0,16.37160229020101,41.67974771832845,19.73244136894954,44.77733153867685
-15.0,0.258134591992,10.0,16.365976499463475,41.75378436136134,19.57460038834205,45.017966086552526
-15.0,0.258134591992,20.0,16.36201667255544,42.01614917129977,19.36423161536668,45.45525636062597
