r,theta,a_BEM,phi_BEM,phi_BEM,a_SVEN,phi_SVEN
0.25813459199124,170,0.16798773744625228,39.49396912108762,39.493969121087616,-0.0385775932045993,41.73166319215242
0.25813459199124,180,0.170361200310592,39.3797232410735,39.3797232410735,-0.03405908036752803,41.583656137744484
0.25813459199124,190,0.16934136010602008,39.45375988410547,39.45375988410548,-0.02987391346521462,41.625473708180785
0.25813459199124,200,0.16493033900668364,39.71612469404086,39.71612469404086,-0.026226566017845787,41.860710394037596
0.25813459199124,210,0.15718355644336857,40.16542641170361,40.165426411703606,-0.02329307541816572,42.290114583207085
0.25813459199124,220,0.14621771129468164,40.79836569675514,40.79836569675515,-0.021179874595834036,42.91019568104737
0.25813459199124,230,0.1322226599111883,41.60897398253713,41.60897398253713,-0.019966403814006384,43.713695508699374
0.25813459199124,240,0.11547551454676197,42.58759390520627,42.587593905206276,-0.019833213049685217,44.693157576449494
0.25813459199124,250,0.09635430367716646,43.71967052346913,43.71967052346913,-0.020707278637937643,45.82992294716906
0.25813459199124,260,0.07534751757763025,44.98447971686845,44.98447971686845,-0.022266818754498985,47.090544925327556
0.25813459199124,270,0.053055176825695716,46.35399177189696,46.353991771896965,-0.02434120630227521,48.43964783560786
0.25813459199124,280,0.030177272428588475,47.79213770038155,47.792137700381545,-0.026822573619699863,49.839651150790175
0.25813459199124,290,0.0074871013790371865,49.25478417160474,49.25478417160475,-0.02955495443967804,51.244666858356865
0.25813459199124,300,-0.014209666026673728,50.69069486033023,50.69069486033024,-0.03232705420849569,52.60125648848429
0.25813459199124,310,-0.0341250674556266,52.04363656851348,52.043636568513485,-0.035047399131456825,53.85605701127751
0.25813459199124,320,-0.051539325979832906,53.25558400753034,53.255584007530345,-0.03767293663414595,54.9587554329661
0.25813459199124,330,-0.06584197279937731,54.27073636517034,54.27073636517035,-0.04032386004979904,55.86661214897469
0.25813459199124,340,-0.07655663833798965,55.03985901273416,55.039859012734155,-0.04295105179618086,56.5401515756558
0.25813459199124,350,-0.08334832976201456,55.52437294278076,55.524372942780765,-0.04550019549503381,56.94727114584245
0.28853979200976,0,-0.10214349852004156,51.22650281314985,52.573203988567215,-0.09892994860639504,54.288257772806446
0.28853979200976,10,-0.10063348594245403,51.10224166460267,52.44894284002004,-0.10144022020569476,54.15583166808793
0.28853979200976,20,-0.09484097735680108,50.69751142648441,52.04421260190178,-0.10385914892096815,53.77692212869272
